ID;Name;Population;Region;Latitude;Longitude
20;Akaa;16387;Pirkanmaa;61,1974827;23,8280444
5;Alajärvi;9078;Etelä-Pohjanmaa;62,9998641;23,8167613
9;Alavieska;2410;Pohjois-Pohjanmaa;64,1701074;24,2991417
10;Alavus;10780;Etelä-Pohjanmaa;62,5862041;23,6185286
16;Asikkala;7889;Päijät-Häme;61,2332298;25,5528781
18;Askola;4651;Uusimaa;60,5271593;25,6000156
19;Aura;3966;Varsinais-Suomi;60,6499508;22,5865661
35;Brändö;430;Åland;60,4135873;21,0440498
43;Eckerö;956;Åland;60,2233436;19,5507584
46;Enonkoski;1288;Etelä-Savo;62,0887054;28,9161938
47;Enontekiö;1762;Lappi;68,3854896;23,6437979
49;Espoo;320931;Uusimaa;60,2049651;24,6559808
50;Eura;11084;Satakunta;61,1304007;22,1302126
51;Eurajoki;9052;Satakunta;61,2018184;21,7296943
52;Evijärvi;2272;Etelä-Pohjanmaa;63,3670713;23,4768632
60;Finström;2617;Åland;60,2310519;19,9867259
61;Forssa;16478;Kanta-Häme;60,8155736;23,629833
62;Föglö;502;Åland;60,0107325;20,4246997
65;Geta;514;Åland;60,3740157;19,8498128
69;Haapajärvi;6492;Pohjois-Pohjanmaa;63,7514785;25,3134586
71;Haapavesi;6365;Pohjois-Pohjanmaa;64,1378737;25,3658176
72;Hailuoto;927;Pohjois-Pohjanmaa;65,0137795;24,7292318
74;Halsua;985;Keski-Pohjanmaa;63,4619279;24,1690324
75;Hamina;19311;Kymenlaakso;60,5683467;27,1925862
76;Hammarland;1636;Åland;60,2196758;19,7378481
77;Hankasalmi;4509;Keski-Suomi;62,3893471;26,4367772
78;Hanko;7702;Uusimaa;59,8228008;22,9695005
79;Harjavalta;6647;Satakunta;61,3125216;22,1357413
81;Hartola;2482;Päijät-Häme;61,1299545;25,3141481
82;Hattula;9361;Kanta-Häme;61,0631229;24,3669975
86;Hausjärvi;7901;Kanta-Häme;60,7788065;24,9735698
111;Heinola;17829;Päijät-Häme;61,2027188;26,031371
90;Heinävesi;2929;Pohjois-Karjala;62,4263207;28,6329185
91;Helsinki;684018;Uusimaa;60,1666204;24,9435408
97;Hirvensalmi;2059;Etelä-Savo;61,6413044;26,7763836
98;Hollola;22849;Päijät-Häme;60,9876102;25,516422
102;Huittinen;9555;Satakunta;61,1770887;22,6990511
103;Humppila;2094;Kanta-Häme;60,933333;23,366667
105;Hyrynsalmi;2002;Kainuu;64,6747218;28,4922537
106;Hyvinkää;47031;Uusimaa;60,6311481;24,8603615
108;Hämeenkyrö;10348;Pirkanmaa;61,633333;23,2
109;Hämeenlinna;68433;Kanta-Häme;60,9966192;24,465141
139;Ii;9806;Pohjois-Pohjanmaa;65,3218756;25,3716223
140;Iisalmi;20463;Pohjois-Savo;63,5588594;27,1909622
142;Iitti;6401;Päijät-Häme;60,8906591;26,3421867
143;Ikaalinen;6758;Pirkanmaa;61,7681489;23,0746663
145;Ilmajoki;12429;Etelä-Pohjanmaa;62,731342;22,5797719
146;Ilomantsi;4382;Pohjois-Karjala;62,6730588;30,9322642
153;Imatra;24724;Etelä-Karjala;61,1923342;28,7716996
148;Inari;7224;Lappi;68,9062456;27,0260771
149;Inkoo;5402;Uusimaa;60,0461105;24,0042086
151;Isojoki;1794;Etelä-Pohjanmaa;62,1143416;21,9587762
152;Isokyrö;4319;Etelä-Pohjanmaa;63;22,316667
165;Janakkala;16015;Kanta-Häme;60,9063816;24,6186447
167;Joensuu;78741;Pohjois-Karjala;62,6005753;29,7622128
169;Jokioinen;4848;Kanta-Häme;60,8033158;23,4868447
170;Jomala;5789;Åland;60,1522947;19,9489144
171;Joroinen;4552;Pohjois-Savo;62,1782081;27,8284927
172;Joutsa;4099;Keski-Suomi;61,7427363;26,1117278
176;Juuka;4160;Pohjois-Karjala;63,2412699;29,2537501
177;Juupajoki;1668;Pirkanmaa;61,8220488;24,4286815
178;Juva;5674;Etelä-Savo;61,8961369;27,859727
179;Jyväskylä;149194;Keski-Suomi;62,241672;25,7495806
181;Jämijärvi;1658;Satakunta;61,819819;22,6916093
182;Jämsä;19116;Keski-Suomi;61,8637802;25,1897493
